gene	DAY0_rep1	DAY0_rep2	DAY0_rep3	DAY4_rep1	DAY4_rep2	DAY4_rep3	DAY7_rep1	DAY7_rep2	DAY7_rep3	EARLY_DAY10_rep1	EARLY_DAY10_rep2	EARLY_DAY10_rep3	LATE_DAY10_rep1	LATE_DAY10_rep2	LATE_DAY10_rep3	DAY14_rep1	DAY14_rep2	DAY14_rep3	DAY21_rep1	DAY21_rep2	DAY21_rep3
Chm	1364	1128	1115	1183	1151	1203	1198	1141	1333	1170	1295	1072	375	480	557	491	500	607	619	407	896
Mir361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dach2	1	8	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Klhl4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2dnl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2dnl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpxcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H2afb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2lx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2lx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pabpc5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh11x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nap1l3	80	81	77	30	29	32	22	21	26	39	34	30	16	15	11	8	3	16	27	8	23
Cldn34c1	203	237	221	226	213	131	159	210	175	240	224	208	73	59	139	83	155	114	121	54	153
Astx6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsx	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cldn34c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn34c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Astx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r121	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn34c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaph2	1629	1349	1326	1016	1087	1059	878	850	1082	959	1077	976	293	502	416	493	378	335	537	343	462
Pcdh19	1589	1387	1398	547	531	532	348	280	378	754	843	789	216	456	295	189	221	157	158	183	220
Tnmd	1	1	0	0	0	0	0	0	0	0	3	1	0	3	1	0	1	0	1	1	3
Tspan6	898	844	898	865	839	918	1016	955	1047	1545	1777	1584	620	672	653	731	807	703	899	858	1188
Srpx2	2641	2385	2372	7343	7673	6907	9185	8638	10112	10001	11384	10523	4099	4475	4098	5885	5163	5176	7252	6245	8389
Sytl4	1	1	2	0	1	3	1	2	1	4	3	3	0	1	0	0	1	0	0	1	0
Cstf2	2201	1973	1987	1179	1252	1245	1192	1130	1259	1318	1554	1355	525	560	592	736	742	572	870	567	740
Mir3112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nox1	1	1	1	1	1	0	1	1	0	1	2	1	0	0	0	4183	3302	5789	0	0	0
Xkrx	18	10	12	13	15	15	22	21	18	12	22	7	5	9	1	8	13	10	20	11	10
Arl13a	0	1	0	0	0	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0
Trmt2b	922	830	822	1452	1523	1347	1628	1611	1842	1210	1379	1319	587	454	505	734	572	686	565	520	747
Tmem35a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpi	409	389	384	143	138	123	235	231	249	469	582	466	112	280	217	401	267	440	345	206	712
Drp2	949	870	830	269	260	286	213	253	273	281	362	266	99	132	132	102	51	95	66	87	65
Taf7l	370	307	306	0	1	347	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1
Timm8a1	1573	1318	1306	751	823	870	549	512	587	579	696	711	287	243	256	365	416	288	340	291	364
Btk	0	0	0	0	1	0	18	0	1	0	1	0	0	0	1	0	0	3	1	1	1
Rpl36a	14773	13140	13660	14623	14425	14717	13316	11541	14494	9755	11240	10068	4761	3843	3676	4466	5301	4059	3749	3484	3372
Gla	436	352	364	323	368	379	314	304	328	403	488	440	148	182	200	190	183	155	212	124	170
Hnrnph2	3780	3353	3379	3313	3282	3092	3356	2988	3519	3128	3690	3343	1161	1504	1382	1497	1403	1554	1786	1430	1830
Armcx4	128	134	127	264	225	215	149	138	156	174	177	167	61	75	70	88	64	80	109	104	116
Armcx1	487	477	441	634	640	572	364	374	396	281	314	302	100	146	112	105	91	175	93	95	108
Armcx6	146	88	112	124	132	124	80	79	111	69	94	62	32	33	25	19	31	29	36	21	28
Armcx3	2453	2293	2293	4235	4397	4200	3044	2919	3376	1915	2250	1984	683	824	944	801	956	903	841	711	901
Mir7093	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Armcx2	4155	3724	3633	1981	2060	2061	1551	1458	1761	1412	1690	1587	577	613	673	823	819	590	594	635	708
Nxf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmat1	179	173	164	92	100	107	118	79	109	109	136	128	34	56	58	48	73	58	45	63	94
Tceal6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AV320801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxf7	5	2	3	0	1	1	0	1	0	1	3	3	0	0	0	0	0	0	0	0	0
Prame	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcp11x2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	322	0	0	0	0	0
Tmsb15a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprasp1	938	910	822	720	672	651	675	725	722	668	690	634	244	289	261	318	313	301	328	345	339
Armcx5	471	423	444	283	318	314	234	262	268	221	243	204	98	71	95	105	80	79	103	75	99
Mir7646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1970	0	0	1	0	1	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0
Bhlhb9	1250	1137	1153	468	517	515	506	440	562	566	692	589	207	280	248	257	260	249	268	263	280
Gprasp2	5	4	5	9	10	6	6	7	5	9	13	2	3	4	3	0	1	0	3	0	0
Arxes2	1199	1071	1062	241	263	330	206	215	240	226	291	247	110	71	121	89	96	83	70	79	68
Arxes1	198	165	172	28	44	32	16	27	32	40	37	22	13	21	1	16	24	12	15	1	7
Bex2	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0
Nxf3	355	308	363	259	252	239	227	237	313	202	269	254	97	84	106	193	150	61	132	159	119
Bex4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tceal8	3593	2942	2896	3829	3844	3773	3117	2583	3024	2021	2485	2202	926	856	871	882	1018	973	883	939	901
Mir6383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tceal5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bex1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tceal7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tceal9	4953	4213	4041	7273	7535	7246	6042	5328	5948	3903	4631	4212	1746	1556	1743	1609	2255	1730	1641	1399	1567
Bex3	2026	1796	1788	703	687	691	555	507	593	653	818	695	311	313	234	330	284	287	182	278	222
n-R5s12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kir3dl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kir3dl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tceal3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tceal1	68	73	70	29	31	26	41	33	45	30	32	22	10	11	12	15	6	8	10	14	13
Morf4l2	17687	15558	15716	17355	17653	18107	14417	13370	15440	11154	13201	11552	4787	5007	4438	5469	6331	5458	5637	4635	5302
Glra4	2	3	1	3	1	3	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0
Plp1	208	134	177	113	98	128	115	94	113	92	108	94	24	36	59	43	54	22	19	25	46
Rab9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2bfm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmsb15l	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	4941	0	0
Tmsb15b2	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Tmsb15b1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	5	0	0	0	0
Slc25a53	327	259	245	282	250	303	220	254	309	210	226	207	38	205	37	114	109	105	68	112	59
Zcchc18	18	12	13	17	13	16	6	15	15	17	17	13	4	5	10	13	6	3	9	5	3
Fam199x	1003	844	834	764	778	694	633	642	717	642	755	589	233	237	320	293	312	302	325	287	341
Esx1	50	47	35	14	15	7	12	10	14	5	4	11	3	4	2	2	6	3	2	1	1
Il1rapl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex13a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrk	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpina7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mum1l1	549	501	490	284	329	305	182	202	232	161	180	150	43	134	29	38	35	42	95	33	96
Platr21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trap1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d8b	1855	1689	1749	3191	3012	2968	2764	2675	3196	2195	2481	2260	861	926	968	1387	1343	1250	1615	1191	1597
Ripply1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morc4	874	872	794	800	862	845	661	577	679	556	637	542	184	328	186	501	201	256	296	248	344
Rbm41	408	358	357	372	373	359	311	322	331	308	335	321	78	107	207	203	154	158	164	172	143
Nup62cl	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1h3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir3475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frmpd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prps1	1906	1744	1751	1081	1111	1062	1024	977	1120	1047	1189	1125	403	497	438	606	509	498	618	483	600
Tsc22d3	4157	3739	3693	2524	2520	2467	2731	2433	2964	1597	1804	1623	682	673	637	1259	1000	670	891	902	987
Mid2	2389	2206	2275	2407	2384	2289	1894	2024	2352	1859	2115	1855	644	906	777	1163	954	928	1332	1029	1250
Eif2c5	0	0	0	7	0	8	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0
Tex13b	2	4	3	0	5	3	3	0	3	3	2	5	0	1	1	3	3	3	6	0	0
Vsig1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd10	707	678	672	628	636	583	552	510	563	489	560	538	176	224	233	183	307	271	250	204	227
Atg4a	641	560	511	548	619	543	594	584	634	546	681	590	290	250	179	245	328	202	227	247	288
Col4a6	1496	1462	1467	668	667	648	512	498	569	840	994	866	252	462	371	341	225	289	289	241	391
Col4a5	7986	7234	7188	3925	4080	3832	3549	3520	3780	4687	5452	4896	1747	2105	2132	1768	1275	1732	1676	1564	2124
Irs4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgn2l6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gucy2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxt2	764	679	693	460	453	463	528	498	564	601	688	606	234	225	293	312	377	337	373	283	342
Kcne1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acsl4	1749	1504	1539	1011	1064	1008	853	817	951	1053	1126	1038	393	404	482	724	554	506	720	415	696
Tmem164	3811	3426	3453	1985	2016	1838	1980	1797	2098	2165	2556	2251	906	1012	848	917	978	874	851	709	964
Mir652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ammecr1	2080	1869	1841	1214	1206	1143	1131	1032	1150	1393	1633	1517	428	687	708	734	642	911	828	650	905
Rtl9	3	6	5	4	3	1	3	5	4	6	5	2	1	0	0	1	0	0	1	0	7
Chrdl1	12835	10902	10658	6692	6455	5901	8009	7612	8686	11445	13080	11802	4512	5139	4786	8667	6427	7209	8290	8114	9519
Pak3	3464	3146	2995	1991	1980	1931	1619	1513	1619	1413	1621	1449	612	583	581	812	959	689	770	533	855
Capn6	10744	10067	10277	10494	10087	10080	7367	6764	8037	7904	9160	8420	2993	3741	3416	2483	2550	2200	1782	1526	1781
Dcx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Mir680-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg13	421	481	427	310	280	286	328	310	333	406	458	348	141	211	132	320	207	171	360	215	265
Trpc5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Trpc5os	1	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Rtl4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir3472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhfpl1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	14	0	0	0
Amot	8597	7418	7430	2631	2751	2792	2709	2455	2931	3575	4233	3704	1102	1849	1672	1438	1196	1238	1591	1150	1518
Htr2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snora35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il13ra2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrch2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luzp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ott	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem29	414	352	336	247	275	268	215	195	242	208	265	224	99	92	85	91	107	86	79	62	48
Apex2	390	338	367	379	396	357	318	293	390	274	324	332	113	69	193	131	153	127	148	118	137
Alas2	4	1	2	2	3	6	1	5	5	8	4	3	4	0	0	0	8	0	20	0	0
Mir3620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfkfb1	97	94	96	53	39	43	62	49	60	66	74	79	24	40	23	22	32	27	34	26	49
Tro	0	2	7	17	7	16	1	8	2	0	7	0	0	0	0	0	0	0	0	0	0
Maged2	4107	3666	3824	6862	6828	6348	5834	5381	6350	3220	3576	3300	1450	1242	1306	1587	1887	1919	1985	1546	1792
Gnl3l	3132	2838	2884	2329	2431	2338	2066	1947	2362	1759	2190	1910	762	843	717	1180	907	917	1050	900	980
Fgd1	2814	2471	2572	1751	1624	1580	1730	1619	1938	1703	1955	1703	609	857	674	787	862	729	898	804	1011
Tsr2	1224	1145	1179	763	815	785	778	686	776	877	1098	995	381	408	388	604	597	328	567	445	527
Wnk3	6	7	9	3	4	0	4	5	3	0	1	5	1	1	2	2	1	0	2	0	2
Fam120c	641	628	634	309	308	267	268	271	330	246	284	271	90	106	124	128	114	90	144	113	151
Phf8	1323	1098	1240	1252	1243	1268	1219	1078	1251	1041	1283	1027	436	459	432	703	542	369	709	608	670
n-R5s13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huwe1	17911	18197	16716	11485	13176	12285	9691	10825	10758	13651	14341	12412	3687	7151	5502	9316	7367	4713	6983	5706	7537
Mir3113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mirlet7f-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n-R5s14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b10	2567	2289	2288	1241	1301	1342	1375	1230	1451	1201	1401	1262	508	538	487	556	675	505	541	455	614
Ribc1	29	32	35	19	23	21	25	27	23	53	28	16	6	18	17	11	22	21	8	5	6
Smc1a	6015	5583	5625	3092	3332	3199	3266	3121	3523	4573	5284	4714	1725	2004	2065	2710	1958	2295	3010	2140	2917
Iqsec2	1777	1713	1727	1517	1614	1303	1536	1487	1757	1427	1641	1521	483	709	644	898	551	892	951	690	864
Kdm5c	5336	5028	5239	4213	4350	4085	4112	3918	4618	3818	4202	3867	1617	1454	1642	2565	1506	1631	2067	1818	2153
Kantr	361	300	257	266	238	270	194	174	217	208	219	183	48	78	121	134	54	49	74	43	83
n-R5s15	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
Tspyl2	1715	1543	1626	1155	1338	1278	760	809	918	744	878	632	315	312	265	421	393	256	340	279	325
Gpr173	112	87	99	86	62	86	94	73	71	59	53	62	20	25	24	38	44	44	23	32	42
Cldn34a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shroom2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gpr143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mageh1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rragb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf8	188	115	103	107	138	128	72	75	100	94	132	78	39	46	35	57	81	30	69	35	48
Ubqln2	2622	2290	2278	1465	1480	1373	1475	1334	1544	1391	1638	1507	489	640	682	563	572	537	666	516	707
Cypt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd12b	218	175	169	122	104	98	120	136	162	107	106	108	47	47	34	60	21	66	46	44	69
Nbdy	1735	1457	1391	740	774	780	934	780	816	611	717	674	249	255	291	304	301	247	263	265	292
Spin2c	128	122	123	72	74	72	47	57	53	46	59	52	19	21	23	30	18	32	21	15	31
Samt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn34b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magea6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magea3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magea8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Magea2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magea5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magea1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn34b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sat1	1626	1393	1505	1607	1727	1832	1313	1326	1526	1253	1455	1327	502	589	514	295	488	239	246	272	339
Acot9	2470	2144	2147	1935	1960	1902	1575	1434	1623	1487	1723	1613	586	741	595	816	872	673	728	801	882
Prdx4	4053	3623	3580	2716	2642	2652	3127	2709	3210	2861	3360	3017	1466	1136	1047	1891	2028	1460	1405	1375	1412
n-R5s16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptchd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phex	49	43	40	470	388	277	1361	1469	2064	1030	1162	1010	437	391	438	1271	913	947	2503	2600	2890
Sms	1315	1157	1065	550	602	601	565	511	554	547	744	615	261	213	278	380	428	432	258	192	336
Mbtps2	2270	2005	1816	1388	1498	1460	1461	1247	1563	1419	1693	1577	617	683	561	782	1035	673	678	876	842
Yy2	70	92	93	73	44	39	45	57	33	66	40	55	0	16	53	38	0	20	34	55	19
Smpx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnksr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Rps6ka3	3124	2827	2770	2038	2201	2273	1726	1726	1999	2044	2445	2273	816	957	914	969	1076	973	1193	1015	1358
Eif1ax	7317	7290	7131	5023	4380	4836	4138	3269	4468	3577	4987	3869	1644	1569	1692	1893	2362	1746	1889	1544	1685
Map7d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bclaf3	734	636	650	526	512	494	359	393	415	388	532	414	123	205	205	192	271	195	154	155	272
Sh3kbp1	4939	4471	4593	2996	3142	3002	2332	2226	2734	1962	2459	2145	766	976	868	1318	919	1060	1169	1080	1123
Map3k15	3	4	3	7	3	5	2	2	1	3	1	3	0	3	0	5	3	0	5	0	1
Pdha1	13498	11787	11688	10245	10583	10056	9363	8681	10034	7336	8561	7950	2875	3417	3195	4358	4369	3755	3905	3720	3934
Adgrg2	10	6	4	3	2	5	3	1	2	3	9	1	1	3	1	0	3	1	1	0	0
Phka2	676	582	617	525	486	456	400	416	465	543	680	512	244	244	197	306	214	191	188	251	276
Ppef1	267	197	236	268	229	297	373	203	294	259	450	330	99	109	208	95	239	125	182	91	130
Rs1	1	2	2	12	1	1	1	2	2	1	2	12	0	4	0	1	0	0	8	0	16
Cdkl5	690	689	624	445	385	414	377	374	419	455	561	500	154	230	221	290	270	241	352	221	250
Gja6	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	494	0	0	302	0	0
Scml2	336	287	300	117	128	112	241	217	180	310	318	236	124	90	127	154	148	268	112	108	101
Rai2	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
Scml1	1	0	1	1	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Nhs	2943	2711	2599	578	608	599	512	535	572	659	789	701	235	314	307	236	251	293	326	232	252
Reps2	60	54	59	35	26	33	33	26	40	49	62	50	18	20	26	30	30	16	37	17	21
Rbbp7	10833	10040	10154	4401	4504	4495	4892	4331	5136	5878	6806	6146	2202	2794	2503	3125	3149	2769	3283	3129	3318
Txlng	704	622	659	456	458	495	415	442	470	391	449	407	108	168	226	220	223	169	244	181	257
Syap1	2960	2536	2592	2231	2228	2186	2160	1964	2278	1913	2311	1959	792	806	851	846	1002	1029	952	768	880
Mir3473a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctps2	1732	1579	1501	917	914	884	979	865	1079	967	1289	1023	313	573	429	308	589	268	368	436	343
S100g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grpr	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4988
Rnf138rt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap1s2	755	635	678	1314	1390	1211	1377	1350	1590	870	1004	890	350	344	401	567	503	600	579	609	733
Zrsr2	1702	1615	1423	981	1247	1231	1014	1029	1146	1030	1031	950	507	385	304	595	691	612	453	577	512
Car5b	1277	1204	1163	683	690	713	613	564	627	654	804	679	230	355	268	196	215	246	259	202	221
Siah1b	244	216	208	95	85	101	88	76	104	142	174	172	40	74	83	93	86	72	73	64	84
Cltrn	0	0	0	44	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
n-R5s18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pir	599	524	544	295	291	325	328	304	325	353	416	369	133	146	172	116	183	154	131	186	125
Vegfd	374	346	356	93	77	79	67	58	75	56	69	54	24	20	27	37	19	18	6	24	19
Piga	382	340	385	232	229	231	232	265	263	324	366	302	95	154	148	232	196	90	79	203	108
Asb11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Asb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mospd2	1171	981	1036	1208	1278	1087	1042	932	1147	1057	1181	1055	389	442	479	648	470	622	457	461	593
Fancb	177	157	177	97	95	95	95	91	99	177	205	182	72	72	78	96	81	95	99	50	72
